key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,ModelChara,,FlyingCondition,,,,IsFlying,,MountCustomize,RideBGM,,,,ExitMoveDist,ExitMoveSpeed,,IsEmote,EquipHead,EquipBody,EquipLeg,EquipFoot,Order,Icon,UIPriority,RadiusRate,BaseMotionSpeed_Run,BaseMotionSpeed_Walk,,ExtraSeats,MountAction,IsAirborne,ExHotbarEnableConfig,UseEP,,IsImmobile,,,
offset,0,8,4,9,10,11,12,13,28,48,58,59,60,61,62,63,64,50,16,20,24,65,66,75,75,32,36,40,44,56,52,67,68,69,70,71,72,54,75,75,75,75,75,73,74,75
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,ModelChara,uint16,MountFlyingCondition,byte,byte,byte,byte,byte,MountCustomize,BGM,str,str,str,byte,byte,bit&01,bit&02,int32,int32,int32,int32,int16,Image,byte,byte,byte,byte,byte,byte,MountAction,bit&04,bit&08,bit&10,bit&20,bit&40,byte,byte,bit&80
0,"",0,"",0,0,1,0,0,0,0,0,45,15,15,0,0,0,0,"","","",10,10,False,True,0,0,0,0,-1,0,0,100,0,0,100,0,0,False,False,False,False,False,0,0,False
1,"專屬陸行鳥",0,"",0,0,1,0,0,1,2,2,45,15,15,1,0,1,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65536,65536,65537,0,0,4001,1,100,0,0,55,0,0,False,False,False,False,False,0,0,False
2,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,61,"","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65537,65537,65537,65537,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False
3,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,61,"","","SE_Bt_Etc_ChocoboBye",2,9,False,True,65552,65552,65537,0,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False
4,"古菩猩猩",0,"",0,0,1,0,0,200,4,1,45,15,15,1,2,0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,False,True,0,0,0,0,1,4003,6,100,0,0,60,0,1,False,True,False,False,False,0,0,False
5,"遺產陸行鳥",0,"",0,0,1,0,0,1,2,1,45,15,15,1,0,1,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65545,65545,65545,65545,2,4002,1,100,0,0,55,0,0,False,False,False,False,False,0,0,False
6,"魔導裝甲",0,"",0,0,1,0,0,2,2,1,45,0,15,1,2,0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,131073,0,0,3,4006,4,77,0,0,70,0,2,False,True,False,False,False,0,0,False
7,"",0,"",0,0,1,0,0,311,5,0,45,15,15,0,0,2,121,"","","",0,0,False,True,0,0,0,0,-1,0,0,100,0,0,100,0,0,False,False,False,False,False,0,0,False
8,"長鬚豹",0,"",0,0,1,0,0,2047,2,1,45,70,70,1,2,3,121,"SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,False,True,0,0,0,0,4,4005,7,60,0,0,60,0,0,False,False,False,False,False,0,0,False
9,"冥鬼之眼",0,"",0,0,1,0,0,167,2,1,45,15,70,1,2,4,121,"SE_Bt_Etc_AhrimanWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_AhrimanBye",20,10,False,True,0,0,0,0,5,4004,8,100,0,0,50,0,0,True,False,False,False,False,0,0,False
10,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,121,"","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65536,65536,65537,0,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False
11,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,121,"","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65538,65541,65537,65538,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False
12,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,121,"","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65538,131077,65537,65538,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False
13,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,121,"","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65538,196613,65537,65538,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False
14,"",0,"",0,0,1,0,0,2,2,0,45,0,15,0,0,0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,65537,0,0,-1,0,0,77,0,0,70,0,0,False,False,False,False,False,0,0,False
15,"獨角獸",0,"",0,0,1,0,0,2553,2,1,45,70,70,1,2,5,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,6,4007,200,65,0,0,70,0,0,False,False,False,False,False,0,0,False
16,"",0,"",0,0,1,0,0,2,2,0,45,0,15,0,0,0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,196609,0,0,-1,0,0,77,0,0,70,0,0,False,False,False,False,False,0,0,False
17,"",0,"",0,0,1,0,0,2,2,0,45,0,15,0,0,0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,131073,0,0,-1,0,0,77,0,0,70,0,3,False,False,False,False,False,0,0,False
18,"貝希摩斯",0,"",0,0,1,0,0,588,2,1,45,85,85,1,2,6,121,"SE_Bt_Etc_BehemothWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BehemothBye",20,10,False,True,0,0,0,0,7,4008,9,55,0,0,70,0,0,False,False,False,False,False,0,0,False
19,"兵隊火蛟",0,"",0,0,1,0,0,592,2,1,45,85,85,1,2,7,121,"SE_Bt_Etc_TokageWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TokageBye",20,10,False,True,0,0,0,0,8,4009,10,100,0,0,70,0,4,False,True,False,False,False,0,0,False
20,"月桂冠古菩猩猩",0,"",0,0,1,0,0,593,4,1,45,15,15,1,2,0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,False,True,0,0,0,0,9,4010,6,100,0,0,60,0,5,False,True,False,False,False,0,0,False
21,"魔導裝甲丙型",0,"",0,0,1,0,0,2,2,1,45,0,15,1,2,0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,262145,0,0,10,4011,4,77,0,0,70,0,2,False,True,False,False,False,0,0,False
22,"夢魘",0,"",0,0,1,0,0,594,2,1,45,70,70,1,2,5,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,11,4012,200,65,0,0,70,0,0,False,False,False,False,False,0,0,False
23,"",0,"",0,0,1,0,0,592,2,0,45,15,15,0,0,7,121,"SE_Bt_Etc_TokageWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TokageBye",20,10,False,True,0,0,0,0,-1,0,0,100,0,0,100,0,6,False,False,False,False,False,0,0,False
24,"",0,"",0,0,1,0,0,593,4,0,45,15,15,1,2,0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,False,True,0,0,0,0,-1,0,0,100,0,0,100,0,7,False,False,False,False,False,0,0,False
25,"胖陸行鳥",0,"",0,0,1,0,0,643,2,1,45,0,15,1,0,0,193,"SE_Bt_Etc_DebuCyokoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_DebuCyokoboBye",20,10,True,False,0,0,0,0,12,4013,2,100,0,0,70,0,0,False,False,False,False,False,0,0,False
26,"兵隊水龍蜥",0,"",0,0,1,0,0,689,2,1,45,85,85,1,2,7,121,"SE_Bt_Etc_WaterRizardWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WaterRizardBye",20,10,False,True,0,0,0,0,13,4014,11,100,0,0,70,0,0,False,False,False,False,False,0,0,False
27,"爆彈吊椅",0,"",0,0,1,0,0,644,2,1,45,15,15,1,2,0,121,"SE_Bt_Etc_BomKikyuuWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BomKikyuuBye",20,10,False,True,0,0,0,0,14,4015,12,100,0,0,70,0,0,True,False,False,False,False,0,0,False
28,"火妖馬埃馱恩",0,"",0,0,1,0,0,713,2,1,45,70,70,1,2,5,269,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,15,4016,200,65,0,0,70,0,0,False,False,False,False,False,0,0,False
29,"風妖馬刻桑圖司",0,"",0,0,1,0,0,714,2,1,45,70,70,1,2,5,268,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,16,4017,200,65,0,0,70,0,0,False,False,False,False,False,0,0,False
30,"土妖馬古爾法克西",0,"",0,0,1,0,0,715,2,1,45,70,70,1,2,5,267,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,17,4018,200,65,0,0,70,0,0,False,False,False,False,False,0,0,False
